Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,
D,Mattias Ekholm (13628076),Mattias Ekholm,13628076,D/UTIL,5100,MIN@NSH 10/24/2019 08:00PM ET,NSH,11.66,0
D,John Klingberg (13628060),John Klingberg,13628060,D/UTIL,5100,ANH@DAL 10/24/2019 08:30PM ET,DAL,8.5,0
D,Jared Spurgeon (13628064),Jared Spurgeon,13628064,D/UTIL,5000,MIN@NSH 10/24/2019 08:00PM ET,MIN,9.28,0
RW,Jakob Silfverberg (13628078),Jakob Silfverberg,13628078,W/UTIL,5000,ANH@DAL 10/24/2019 08:30PM ET,ANH,9.81,0
C,Roope Hintz (13628279),Roope Hintz,13628279,C/UTIL,5000,ANH@DAL 10/24/2019 08:30PM ET,DAL,8.58,0
D,Colton Parayko (13628158),Colton Parayko,13628158,D/UTIL,4900,LA@STL 10/24/2019 08:00PM ET,STL,8.72,0
C,Eric Staal (13627906),Eric Staal,13627906,C/UTIL,4900,MIN@NSH 10/24/2019 08:00PM ET,MIN,8.16,0
D,Miro Heiskanen (13628377),Miro Heiskanen,13628377,D/UTIL,4900,ANH@DAL 10/24/2019 08:30PM ET,DAL,9.04,0
RW,Dustin Brown (13627912),Dustin Brown,13627912,W/UTIL,4800,LA@STL 10/24/2019 08:00PM ET,LA,9.91,0
LW,Jaden Schwartz (13628036),Jaden Schwartz,13628036,W/UTIL,4800,LA@STL 10/24/2019 08:00PM ET,STL,7.5,0
C,Adam Henrique (13628066),Adam Henrique,13628066,C/UTIL,4800,ANH@DAL 10/24/2019 08:30PM ET,ANH,9.41,0
RW,Joe Pavelski (13627943),Joe Pavelski,13627943,W/UTIL,4700,ANH@DAL 10/24/2019 08:30PM ET,DAL,4.52,0
LW,Jeff Carter (13627910),Jeff Carter,13627910,W/UTIL,4600,LA@STL 10/24/2019 08:00PM ET,LA,9.47,0
D,Matt Dumba (13628130),Matt Dumba,13628130,D/UTIL,4600,MIN@NSH 10/24/2019 08:00PM ET,MIN,8.06,0
D,Duncan Keith (13627902),Duncan Keith,13627902,D/UTIL,4600,PHI@CHI 10/24/2019 08:30PM ET,CHI,7.86,0
C,Kevin Hayes (13628044),Kevin Hayes,13628044,C/UTIL,4600,PHI@CHI 10/24/2019 08:30PM ET,PHI,7.11,0
RW,David Perron (13627963),David Perron,13627963,W/UTIL,4500,LA@STL 10/24/2019 08:00PM ET,STL,9,0
D,Sean Walker (13628398),Sean Walker,13628398,D/UTIL,4500,LA@STL 10/24/2019 08:00PM ET,LA,10.1,0
D,Erik Gustafsson (13628160),Erik Gustafsson,13628160,D/UTIL,4500,PHI@CHI 10/24/2019 08:30PM ET,CHI,5.31,0
D,Cam Fowler (13628034),Cam Fowler,13628034,D/UTIL,4500,ANH@DAL 10/24/2019 08:30PM ET,ANH,7.2,0
LW,Ilya Kovalchuk (13627891),Ilya Kovalchuk,13627891,W/UTIL,4400,LA@STL 10/24/2019 08:00PM ET,LA,8.78,0
D,Brent Seabrook (13627914),Brent Seabrook,13627914,D/UTIL,4400,PHI@CHI 10/24/2019 08:30PM ET,CHI,8.04,0
RW,Andrew Shaw (13628114),Andrew Shaw,13628114,W/UTIL,4400,PHI@CHI 10/24/2019 08:30PM ET,CHI,6.41,0
D,Shayne Gostisbehere (13628154),Shayne Gostisbehere,13628154,D/UTIL,4400,PHI@CHI 10/24/2019 08:30PM ET,PHI,5.1,0
C,Dylan Strome (13628265),Dylan Strome,13628265,C/UTIL,4400,PHI@CHI 10/24/2019 08:30PM ET,CHI,7.37,0
C,Ryan Getzlaf (13627918),Ryan Getzlaf,13627918,C/UTIL,4400,ANH@DAL 10/24/2019 08:30PM ET,ANH,8.32,0
C,Mikko Koivu (13627898),Mikko Koivu,13627898,C/UTIL,4300,MIN@NSH 10/24/2019 08:00PM ET,MIN,6.42,0
C,Kyle Turris (13627959),Kyle Turris,13627959,C/UTIL,4300,MIN@NSH 10/24/2019 08:00PM ET,NSH,8.2,0
D,Justin Faulk (13628048),Justin Faulk,13628048,D/UTIL,4200,LA@STL 10/24/2019 08:00PM ET,STL,7.07,0
D,Hampus Lindholm (13628128),Hampus Lindholm,13628128,D/UTIL,4200,ANH@DAL 10/24/2019 08:30PM ET,ANH,7.92,0
LW,Mikael Granlund (13628031),Mikael Granlund,13628031,W/UTIL,4100,MIN@NSH 10/24/2019 08:00PM ET,NSH,6.29,0
D,Matt Niskanen (13627935),Matt Niskanen,13627935,D/UTIL,4100,PHI@CHI 10/24/2019 08:30PM ET,PHI,8.19,0
